,AddressListDescription,PortalMunicipalityCode,PortalMunicipalityDescription
0,RICHLAND TOWNSHIP,938,Richland
1,ELIZABETH TOWNSHIP,908,Elizabeth Twp
2,ELIZABETH BOROUGH,825,Elizabeth Boro
3,PITTSBURGH,1,Pittsburgh - All Wards
36,BELLEVUE BOROUGH,803,Bellevue
37,HARMAR TOWNSHIP,915,Harmar
38,CASTLE SHANNON BOROUGH,813,Castle Shannon
39,CHESWICK BOROUGH,815,Cheswick
40,MOON TOWNSHIP,925,Moon
41,PENN HILLS MUNICIPALITY,934,Penn Hills
42,BRENTWOOD BOROUGH,810,Brentwood
43,SPRINGDALE TOWNSHIP,948,Springdale Twp
44,CARNEGIE BOROUGH,812,Carnegie
45,WEST MIFFLIN BOROUGH,870,West Mifflin
46,AVALON BOROUGH,802,Avalon
47,FOREST HILLS BOROUGH,828,Forest Hills
48,CHURCHILL BOROUGH,816,Churchill
49,RESERVE TOWNSHIP,937,Reserve
50,WHITEHALL BOROUGH,874,Whitehall
51,BALDWIN BOROUGH,877,Baldwin Boro
52,MONROEVILLE MUNICIPALITY,879,Monroeville
53,DORMONT BOROUGH,819,Dormont
54,DUQUESNE,3,Duquesne - All Wards
58,ROSS TOWNSHIP,940,Ross
59,KILBUCK TOWNSHIP,920,Kilbuck
60,OHIO TOWNSHIP,932,Ohio
61,PORT VUE BOROUGH,848,Port Vue
62,SHALER TOWNSHIP,944,Shaler
63,PLUM BOROUGH,880,Plum
64,UPPER ST CLAIR TOWNSHIP,950,Upper St. Clair
65,GLEN OSBORNE BOROUGH,846,Glen Osborne
66,GLENFIELD BOROUGH,830,Glenfield
67,ALEPPO TOWNSHIP,901,Aleppo
68,MCDONALD BOROUGH,841,McDonald
69,LIBERTY BOROUGH,837,Liberty
70,PLEASANT HILLS BOROUGH,873,Pleasant Hills
71,JEFFERSON HILLS BOROUGH,878,Jefferson Hills
72,MILLVALE BOROUGH,838,Millvale
73,NORTH FAYETTE TOWNSHIP,929,North Fayette
74,SOUTH FAYETTE TOWNSHIP,946,South Fayette
75,GLASSPORT BOROUGH,829,Glassport
76,CORAOPOLIS BOROUGH,817,Coraopolis
77,WILKINSBURG BOROUGH,866,Wilkinsburg
